pers_id,sentence_date,release_date,crime_type,ed_level
440,01aug2011,21dec2011,Property,High school degree
765,30oct2010,02feb2011,Property,High school degree
1310,23oct2010,02apr2011,Public,Less than high school
1635,28jul2011,11nov2011,Public,High school degree
1960,19sep2010,16sep2011,Drug,Associate degree
2180,02nov2010,02nov2010,Public,Less than high school
2505,26jul2010,19jun2011,Drug,Less than high school
2830,01aug2011,21dec2011,Violent,High school degree
3375,26oct2010,14feb2011,Violent,Less than high school
3700,23oct2010,02apr2011,Property,Bachelor's degree or higher'
4245,30aug2011,30oct2011,Public,High school degree
4570,02nov2010,31aug2011,Drug,Some college
5115,09aug2011,19dec2011,Public,High school degree
5440,07oct2011,15dec2011,Public,Less than high school
5765,26oct2010,14feb2011,Drug,High school degree
6310,23mar2011,07jun2011,Drug,Less than high school
6635,30aug2011,30oct2011,Public,Less than high school
6635,30aug2011,30oct2011,Drug,Less than high school
7180,12apr2011,26dec2011,Public,Bachelor's degree or higher'
7505,09aug2011,19dec2011,Public,Some college
8050,14apr2011,04aug2011,Property,Less than high school
8375,17may2011,26jul2011,Property,High school degree
8700,23mar2011,07jun2011,Drug,Associate degree
8920,01jan2011,27aug2011,Drug,High school degree
9245,11dec2010,27jul2011,Property,High school degree
9570,12apr2011,12apr2011,Public,Less than high school
10115,29dec2010,03jul2011,Property,Less than high school
10440,14apr2011,04aug2011,Public,Associate degree
10985,04dec2010,30jan2011,Property,Less than high school
11310,01jan2011,27aug2011,Drug,High school degree
11855,05aug2011,31dec2011,Property,Less than high school
12180,17jun2011,14sep2011,Public,Some college
12505,29dec2010,03jul2011,Violent,Less than high school
13050,13sep2010,13sep2010,Drug,High school degree
13375,04dec2010,30jan2011,Public,Associate degree
13920,06jan2011,27dec2010,Public,Less than high school
14245,05aug2011,31dec2011,Public,High school degree
14790,30oct2010,02feb2011,Property,Less than high school
15115,12mar2011,01dec2011,Property,Associate degree
15440,13sep2010,26jul2011,Violent,Associate degree
15660,28jul2011,11nov2011,Public,Some college
15985,19sep2010,16sep2011,Violent,Less than high school
16310,06jan2011,03nov2011,Property,Some college
16855,01aug2011,21dec2011,Property,Some college
17180,30oct2010,02feb2011,Drug,Some college
17725,23oct2010,02apr2011,Property,Some college
18050,28jul2011,11nov2011,Public,Bachelor's degree or higher'
18595,02nov2010,31aug2011,Public,High school degree
18920,26jul2010,19jun2011,Public,Less than high school
19245,01aug2011,21dec2011,Property,High school degree
19790,26oct2010,14feb2011,Property,High school degree
20115,23oct2010,02apr2011,Drug,High school degree
20440,04dec2010,24nov2010,Drug,Less than high school
20660,30aug2011,30oct2011,Public,Less than high school
20985,02nov2010,31aug2011,Property,Less than high school
21530,09aug2011,19dec2011,Public,Less than high school
21855,07oct2011,15dec2011,Property,High school degree
22180,26oct2010,14feb2011,Property,Associate degree
22400,17may2011,26jul2011,Drug,Less than high school
22725,23mar2011,07jun2011,Public,High school degree
22830,12mar2011,01dec2011,Drug,High school degree
23050,30aug2011,30oct2011,Public,High school degree
23595,12apr2011,26dec2011,Property,Associate degree
23920,09aug2011,19dec2011,Property,High school degree
24465,14apr2011,04aug2011,Public,High school degree
24790,17may2011,26jul2011,Public,Less than high school
25335,01jan2011,27aug2011,Property,High school degree
25660,11dec2010,27jul2011,Property,Some college
25985,12apr2011,26dec2011,Public,Associate degree
26530,29dec2010,03jul2011,Property,High school degree
26855,14apr2011,04aug2011,Public,Associate degree
27180,23oct2010,02apr2011,Drug,Less than high school
27400,04dec2010,30jan2011,Violent,High school degree
27725,01jan2011,27aug2011,Property,Associate degree
28270,05aug2011,31dec2011,Property,Less than high school
28595,17jun2011,14sep2011,Public,High school degree
28920,29dec2010,03jul2011,Drug,Associate degree
29140,12mar2011,01dec2011,Public,Associate degree
29465,13sep2010,26jul2011,Drug,Bachelor's degree or higher'
29790,04dec2010,30jan2011,Drug,Less than high school
30335,06jan2011,03nov2011,Property,Bachelor's degree or higher'
30660,05aug2011,31dec2011,Public,Associate degree
31205,30oct2010,02feb2011,Property,Less than high school
31530,12mar2011,01dec2011,Drug,Bachelor's degree or higher'
32075,28jul2011,11nov2011,Drug,High school degree
32400,19sep2010,16sep2011,Property,Some college
32725,06jan2011,03nov2011,Property,Less than high school
32945,26jul2010,19jun2011,Public,Bachelor's degree or higher'
33050,05aug2011,31dec2011,Public,Less than high school
33270,01aug2011,21dec2011,Public,Less than high school
33595,30oct2010,02feb2011,Property,Some college
33920,14apr2011,04aug2011,Violent,Bachelor's degree or higher'
34140,23oct2010,02apr2011,Property,Less than high school
34465,28jul2011,11nov2011,Property,Associate degree
35010,02nov2010,31aug2011,Drug,Less than high school
35335,26jul2010,19jun2011,Violent,Less than high school
